arich[1].feb[4].t2 : float(27)
arich[1].feb[5].t1 : float(27.3125)
arich[1].feb[5].t2 : float(27.25)
arich[2].temp : float(30.4375)
arich[2].feb[0].t1 : float(27.5)
arich[2].feb[0].t2 : float(27.5625)
arich[2].feb[1].t1 : float(27.3125)
arich[2].feb[1].t2 : float(27.125)
arich[2].feb[2].t1 : float(27.375)
arich[2].feb[2].t2 : float(27.375)
arich[2].feb[3].t1 : float(27.0625)
arich[2].feb[3].t2 : float(27.125)
arich[2].feb[4].t1 : float(27.0625)
arich[2].feb[4].t2 : float(27)
arich[2].feb[5].t1 : float(27.1875)
arich[2].feb[5].t2 : float(27.25)
arich[3].temp : float(29.3125)
arich[3].feb[0].t1 : float(28.1875)
arich[3].feb[0].t2 : float(28.125)
arich[3].feb[1].t1 : float(27.8125)
arich[3].feb[1].t2 : float(27.75)
arich[3].feb[2].t1 : float(27.625)
arich[3].feb[2].t2 : float(27.5)
arich[3].feb[3].t1 : float(27.625)
arich[3].feb[3].t2 : float(27.5625)
arich[3].feb[4].t1 : float(27.5)
arich[3].feb[4].t2 : float(27.375)
arich[3].feb[5].t1 : float(28.3125)
arich[3].feb[5].t2 : float(28.125)
[2018-10-01 11:49:45] 
arich[0].temp : float(31.375)
arich[0].feb[0].t1 : float(28.25)
arich[0].feb[0].t2 : float(28.3125)
arich[0].feb[1].t1 : float(28.4375)
arich[0].feb[1].t2 : float(28.4375)
arich[0].feb[2].t1 : float(28.25)
arich[0].feb[2].t2 : float(28.25)
arich[0].feb[3].t1 : float(28.3125)
arich[0].feb[3].t2 : float(28.125)
arich[0].feb[4].t1 : float(28.5625)
arich[0].feb[4].t2 : float(28.5)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(30.9375)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(28.5625)
arich[1].feb[1].t2 : float(28.5625)
arich[1].feb[2].t1 : float(28.4375)
arich[1].feb[2].t2 : float(28.375)
arich[1].feb[3].t1 : float(28.625)
arich[1].feb[3].t2 : float(28.625)
arich[1].feb[4].t1 : float(28.375)
arich[1].feb[4].t2 : float(28.25)
arich[1].feb[5].t1 : float(28.625)
arich[1].feb[5].t2 : float(28.5)
arich[2].temp : float(31.125)
arich[2].feb[0].t1 : float(28.75)
arich[2].feb[0].t2 : float(28.8125)
arich[2].feb[1].t1 : float(28.5)
arich[2].feb[1].t2 : float(28.25)
arich[2].feb[2].t1 : float(28.625)
arich[2].feb[2].t2 : float(28.625)
arich[2].feb[3].t1 : float(28.125)
arich[2].feb[3].t2 : float(28.1875)
arich[2].feb[4].t1 : float(28)
arich[2].feb[4].t2 : float(28)
arich[2].feb[5].t1 : float(28.25)
arich[2].feb[5].t2 : float(28.375)
arich[3].temp : float(29.875)
arich[3].feb[0].t1 : float(29.375)
arich[3].feb[0].t2 : float(29.3125)
arich[3].feb[1].t1 : float(29.125)
arich[3].feb[1].t2 : float(29.0625)
arich[3].feb[2].t1 : float(28.6875)
arich[3].feb[2].t2 : float(28.5)
arich[3].feb[3].t1 : float(28.75)
arich[3].feb[3].t2 : float(28.625)
arich[3].feb[4].t1 : float(28.9375)
arich[3].feb[4].t2 : float(28.75)
arich[3].feb[5].t1 : float(29.5)
arich[3].feb[5].t2 : float(29.375)
[2018-10-01 11:51:13] 
arich[0].temp : float(31.25)
arich[0].feb[0].t1 : float(28.4375)
arich[0].feb[0].t2 : float(28.4375)
arich[0].feb[1].t1 : float(28.5625)
arich[0].feb[1].t2 : float(28.625)
arich[0].feb[2].t1 : float(28.375)
arich[0].feb[2].t2 : float(28.375)
arich[0].feb[3].t1 : float(28.5)
arich[0].feb[3].t2 : float(28.25)
arich[0].feb[4].t1 : float(28.6875)
arich[0].feb[4].t2 : float(28.6875)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(30.875)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(28.6875)
arich[1].feb[1].t2 : float(28.75)
arich[1].feb[2].t1 : float(28.5625)
arich[1].feb[2].t2 : float(28.5625)
arich[1].feb[3].t1 : float(28.75)
arich[1].feb[3].t2 : float(28.75)
arich[1].feb[4].t1 : float(28.5)
arich[1].feb[4].t2 : float(28.375)
arich[1].feb[5].t1 : float(28.75)
arich[1].feb[5].t2 : float(28.6875)
arich[2].temp : float(31.0625)
arich[2].feb[0].t1 : float(28.875)
arich[2].feb[0].t2 : float(28.9375)
arich[2].feb[1].t1 : float(28.625)
arich[2].feb[1].t2 : float(28.375)
arich[2].feb[2].t1 : float(28.75)
arich[2].feb[2].t2 : float(28.75)
arich[2].feb[3].t1 : float(28.25)
arich[2].feb[3].t2 : float(28.3125)
arich[2].feb[4].t1 : float(28.125)
arich[2].feb[4].t2 : float(28.0625)
arich[2].feb[5].t1 : float(28.375)
arich[2].feb[5].t2 : float(28.5)
arich[3].temp : float(29.75)
arich[3].feb[0].t1 : float(29.5)
arich[3].feb[0].t2 : float(29.4375)
arich[3].feb[1].t1 : float(29.3125)
arich[3].feb[1].t2 : float(29.1875)
arich[3].feb[2].t1 : float(28.8125)
arich[3].feb[2].t2 : float(28.625)
arich[3].feb[3].t1 : float(28.875)
arich[3].feb[3].t2 : float(28.75)
arich[3].feb[4].t1 : float(29.0625)
arich[3].feb[4].t2 : float(28.9375)
arich[3].feb[5].t1 : float(29.5625)
arich[3].feb[5].t2 : float(29.5)
[2018-10-01 12:02:23] 
arich[0].temp : float(31.625)
arich[0].feb[0].t1 : float(29.3125)
arich[0].feb[0].t2 : float(29.3125)
arich[0].feb[1].t1 : float(29.5)
arich[0].feb[1].t2 : float(29.5)
arich[0].feb[2].t1 : float(29.25)
arich[0].feb[2].t2 : float(29.1875)
arich[0].feb[3].t1 : float(29.4375)
arich[0].feb[3].t2 : float(29.1875)
arich[0].feb[4].t1 : float(29.6875)
arich[0].feb[4].t2 : float(29.6875)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(31.1875)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(29.6875)
arich[1].feb[1].t2 : float(29.6875)
arich[1].feb[2].t1 : float(29.5)
arich[1].feb[2].t2 : float(29.4375)
arich[1].feb[3].t1 : float(29.6875)
arich[1].feb[3].t2 : float(29.6875)
arich[1].feb[4].t1 : float(29.3125)
arich[1].feb[4].t2 : float(29.1875)
arich[1].feb[5].t1 : float(29.625)
arich[1].feb[5].t2 : float(29.5)
arich[2].temp : float(31.375)
arich[2].feb[0].t1 : float(29.75)
arich[2].feb[0].t2 : float(29.8125)
arich[2].feb[1].t1 : float(29.375)
arich[2].feb[1].t2 : float(29.125)
arich[2].feb[2].t1 : float(29.5625)
arich[2].feb[2].t2 : float(29.5625)
arich[2].feb[3].t1 : float(28.9375)
arich[2].feb[3].t2 : float(29)
arich[2].feb[4].t1 : float(28.75)
arich[2].feb[4].t2 : float(28.75)
arich[2].feb[5].t1 : float(29.1875)
arich[2].feb[5].t2 : float(29.3125)
arich[3].temp : float(30.0625)
arich[3].feb[0].t1 : float(30.1875)
arich[3].feb[0].t2 : float(30.1875)
arich[3].feb[1].t1 : float(30.1875)
arich[3].feb[1].t2 : float(30.125)
arich[3].feb[2].t1 : float(29.4375)
arich[3].feb[2].t2 : float(29.3125)
arich[3].feb[3].t1 : float(29.625)
arich[3].feb[3].t2 : float(29.5)
arich[3].feb[4].t1 : float(30)
arich[3].feb[4].t2 : float(29.8125)
arich[3].feb[5].t1 : float(30.4375)
arich[3].feb[5].t2 : float(30.3125)
[2018-10-01 12:04:48] 
arich[0].temp : float(31.6875)
arich[0].feb[0].t1 : float(29.4375)
arich[0].feb[0].t2 : float(29.4375)
arich[0].feb[1].t1 : float(29.625)
arich[0].feb[1].t2 : float(29.625)
arich[0].feb[2].t1 : float(29.375)
arich[0].feb[2].t2 : float(29.3125)
arich[0].feb[3].t1 : float(29.5625)
arich[0].feb[3].t2 : float(29.3125)
arich[0].feb[4].t1 : float(29.875)
arich[0].feb[4].t2 : float(29.8125)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(31.375)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(29.8125)
arich[1].feb[1].t2 : float(29.875)
arich[1].feb[2].t1 : float(29.625)
arich[1].feb[2].t2 : float(29.625)
arich[1].feb[3].t1 : float(29.8125)
arich[1].feb[3].t2 : float(29.8125)
arich[1].feb[4].t1 : float(29.4375)
arich[1].feb[4].t2 : float(29.3125)
arich[1].feb[5].t1 : float(29.75)
arich[1].feb[5].t2 : float(29.6875)
arich[2].temp : float(31.5625)
arich[2].feb[0].t1 : float(29.875)
arich[2].feb[0].t2 : float(29.9375)
arich[2].feb[1].t1 : float(29.4375)
arich[2].feb[1].t2 : float(29.25)
arich[2].feb[2].t1 : float(29.6875)
arich[2].feb[2].t2 : float(29.6875)
arich[2].feb[3].t1 : float(29.0625)
arich[2].feb[3].t2 : float(29.1875)
arich[2].feb[4].t1 : float(28.875)
arich[2].feb[4].t2 : float(28.875)
arich[2].feb[5].t1 : float(29.3125)
arich[2].feb[5].t2 : float(29.4375)
arich[3].temp : float(30.1875)
arich[3].feb[0].t1 : float(30.375)
arich[3].feb[0].t2 : float(30.375)
arich[3].feb[1].t1 : float(30.3125)
arich[3].feb[1].t2 : float(30.25)
arich[3].feb[2].t1 : float(29.5625)
arich[3].feb[2].t2 : float(29.4375)
arich[3].feb[3].t1 : float(29.75)
arich[3].feb[3].t2 : float(29.625)
arich[3].feb[4].t1 : float(30.1875)
arich[3].feb[4].t2 : float(30)
arich[3].feb[5].t1 : float(30.5625)
arich[3].feb[5].t2 : float(30.4375)
[2018-10-01 12:17:18] 
arich[0].temp : float(32)
arich[0].feb[0].t1 : float(30.0625)
arich[0].feb[0].t2 : float(30.125)
