[2018-10-01 11:26:48] 
arich[0].feb[4].t2 : float(27.625)
arich[0].feb[5].t1 : float(26.8125)
arich[0].feb[5].t2 : float(26.6875)
arich[1].temp : float(29.75)
arich[1].feb[0].t1 : float(26.875)
arich[1].feb[0].t2 : float(26.9375)
arich[1].feb[1].t1 : float(27.0625)
arich[1].feb[1].t2 : float(27.0625)
arich[1].feb[2].t1 : float(27.1875)
arich[1].feb[2].t2 : float(27)
arich[1].feb[3].t1 : float(26.625)
arich[1].feb[3].t2 : float(26.5625)
arich[1].feb[4].t1 : float(27.25)
arich[1].feb[4].t2 : float(27.0625)
arich[1].feb[5].t1 : float(28.0625)
arich[1].feb[5].t2 : float(28.0625)
arich[2].temp : float(31.375)
arich[2].feb[0].t1 : float(27.5625)
arich[2].feb[0].t2 : float(27.6875)
arich[2].feb[1].t1 : float(27.4375)
arich[2].feb[1].t2 : float(27.375)
arich[2].feb[2].t1 : float(27.3125)
arich[2].feb[2].t2 : float(27.25)
arich[2].feb[3].t1 : float(27.5)
arich[2].feb[3].t2 : float(27.4375)
arich[2].feb[4].t1 : float(27.5)
arich[2].feb[4].t2 : float(27.5)
arich[2].feb[5].t1 : float(27.875)
arich[2].feb[5].t2 : float(27.8125)
arich[3].temp : float(29.875)
arich[3].feb[0].t1 : float(26.4375)
arich[3].feb[0].t2 : float(26.6875)
arich[3].feb[1].t1 : float(27)
arich[3].feb[1].t2 : float(26.9375)
arich[3].feb[2].t1 : float(26.875)
arich[3].feb[2].t2 : float(26.8125)
arich[3].feb[3].t1 : float(26.8125)
arich[3].feb[3].t2 : float(26.8125)
arich[3].feb[4].t1 : float(27.1875)
arich[3].feb[4].t2 : float(27)
arich[3].feb[5].t1 : float(27.125)
arich[3].feb[5].t2 : float(27.0625)
[2018-10-01 11:38:04] 
arich[0].temp : float(30.25)
arich[0].feb[0].t1 : float(27.3125)
arich[0].feb[0].t2 : float(27.5)
arich[0].feb[1].t1 : float(27.375)
arich[0].feb[1].t2 : float(27.25)
arich[0].feb[2].t1 : float(26.9375)
arich[0].feb[2].t2 : float(26.6875)
arich[0].feb[3].t1 : float(27.25)
arich[0].feb[3].t2 : float(27.25)
arich[0].feb[4].t1 : float(27.4375)
arich[0].feb[4].t2 : float(27.625)
arich[0].feb[5].t1 : float(26.875)
arich[0].feb[5].t2 : float(26.6875)
arich[1].temp : float(29.6875)
arich[1].feb[0].t1 : float(26.875)
arich[1].feb[0].t2 : float(26.9375)
arich[1].feb[1].t1 : float(27.0625)
arich[1].feb[1].t2 : float(27.0625)
arich[1].feb[2].t1 : float(27.25)
arich[1].feb[2].t2 : float(27.0625)
arich[1].feb[3].t1 : float(26.625)
arich[1].feb[3].t2 : float(26.5625)
arich[1].feb[4].t1 : float(27.3125)
arich[1].feb[4].t2 : float(27.0625)
arich[1].feb[5].t1 : float(28.0625)
arich[1].feb[5].t2 : float(28.0625)
arich[2].temp : float(31.375)
arich[2].feb[0].t1 : float(27.5625)
arich[2].feb[0].t2 : float(27.75)
arich[2].feb[1].t1 : float(27.4375)
arich[2].feb[1].t2 : float(27.375)
arich[2].feb[2].t1 : float(27.3125)
arich[2].feb[2].t2 : float(27.3125)
arich[2].feb[3].t1 : float(27.5)
arich[2].feb[3].t2 : float(27.5)
arich[2].feb[4].t1 : float(27.5625)
arich[2].feb[4].t2 : float(27.5)
arich[2].feb[5].t1 : float(27.875)
arich[2].feb[5].t2 : float(27.875)
arich[3].temp : float(29.875)
arich[3].feb[0].t1 : float(26.4375)
arich[3].feb[0].t2 : float(26.6875)
arich[3].feb[1].t1 : float(27)
arich[3].feb[1].t2 : float(26.9375)
arich[3].feb[2].t1 : float(26.9375)
arich[3].feb[2].t2 : float(26.8125)
arich[3].feb[3].t1 : float(26.8125)
arich[3].feb[3].t2 : float(26.8125)
arich[3].feb[4].t1 : float(27.1875)
arich[3].feb[4].t2 : float(27)
arich[3].feb[5].t1 : float(27.125)
arich[3].feb[5].t2 : float(27.125)
[2018-10-01 11:38:54] 
arich[0].temp : float(30.25)
arich[0].feb[0].t1 : float(27.4375)
arich[0].feb[0].t2 : float(27.625)
arich[0].feb[1].t1 : float(27.5625)
arich[0].feb[1].t2 : float(27.375)
arich[0].feb[2].t1 : float(27.0625)
arich[0].feb[2].t2 : float(26.8125)
arich[0].feb[3].t1 : float(27.4375)
arich[0].feb[3].t2 : float(27.375)
arich[0].feb[4].t1 : float(27.5625)
arich[0].feb[4].t2 : float(27.75)
arich[0].feb[5].t1 : float(27)
arich[0].feb[5].t2 : float(26.8125)
arich[1].temp : float(29.6875)
arich[1].feb[0].t1 : float(27)
arich[1].feb[0].t2 : float(27.0625)
arich[1].feb[1].t1 : float(27.1875)
arich[1].feb[1].t2 : float(27.1875)
arich[1].feb[2].t1 : float(27.375)
arich[1].feb[2].t2 : float(27.1875)
arich[1].feb[3].t1 : float(26.75)
arich[1].feb[3].t2 : float(26.6875)
arich[1].feb[4].t1 : float(27.4375)
arich[1].feb[4].t2 : float(27.25)
arich[1].feb[5].t1 : float(28.25)
arich[1].feb[5].t2 : float(28.25)
arich[2].temp : float(31.4375)
arich[2].feb[0].t1 : float(27.6875)
arich[2].feb[0].t2 : float(27.875)
arich[2].feb[1].t1 : float(27.5625)
arich[2].feb[1].t2 : float(27.5)
arich[2].feb[2].t1 : float(27.4375)
arich[2].feb[2].t2 : float(27.375)
arich[2].feb[3].t1 : float(27.625)
arich[2].feb[3].t2 : float(27.5625)
arich[2].feb[4].t1 : float(27.6875)
arich[2].feb[4].t2 : float(27.625)
arich[2].feb[5].t1 : float(28)
arich[2].feb[5].t2 : float(28)
arich[3].temp : float(29.8125)
arich[3].feb[0].t1 : float(26.5625)
arich[3].feb[0].t2 : float(26.8125)
arich[3].feb[1].t1 : float(27.125)
arich[3].feb[1].t2 : float(27.125)
arich[3].feb[2].t1 : float(27.0625)
arich[3].feb[2].t2 : float(26.9375)
arich[3].feb[3].t1 : float(26.9375)
arich[3].feb[3].t2 : float(26.9375)
arich[3].feb[4].t1 : float(27.3125)
arich[3].feb[4].t2 : float(27.125)
arich[3].feb[5].t1 : float(27.3125)
arich[3].feb[5].t2 : float(27.25)
[2018-10-01 11:49:45] 
arich[0].temp : float(30.9375)
arich[0].feb[0].t1 : float(28.75)
arich[0].feb[0].t2 : float(29)
arich[0].feb[1].t1 : float(29)
arich[0].feb[1].t2 : float(28.8125)
arich[0].feb[2].t1 : float(28.4375)
arich[0].feb[2].t2 : float(28.1875)
arich[0].feb[3].t1 : float(28.9375)
arich[0].feb[3].t2 : float(28.875)
arich[0].feb[4].t1 : float(29.0625)
arich[0].feb[4].t2 : float(29.25)
arich[0].feb[5].t1 : float(28.375)
arich[0].feb[5].t2 : float(28.1875)
arich[1].temp : float(30.3125)
arich[1].feb[0].t1 : float(28.375)
arich[1].feb[0].t2 : float(28.4375)
arich[1].feb[1].t1 : float(28.375)
arich[1].feb[1].t2 : float(28.375)
arich[1].feb[2].t1 : float(28.75)
arich[1].feb[2].t2 : float(28.5625)
arich[1].feb[3].t1 : float(28)
arich[1].feb[3].t2 : float(27.9375)
arich[1].feb[4].t1 : float(28.8125)
arich[1].feb[4].t2 : float(28.5625)
arich[1].feb[5].t1 : float(29.5625)
arich[1].feb[5].t2 : float(29.5625)
arich[2].temp : float(32.125)
arich[2].feb[0].t1 : float(29)
arich[2].feb[0].t2 : float(29.1875)
arich[2].feb[1].t1 : float(28.9375)
arich[2].feb[1].t2 : float(28.875)
arich[2].feb[2].t1 : float(28.4375)
arich[2].feb[2].t2 : float(28.5)
arich[2].feb[3].t1 : float(28.625)
arich[2].feb[3].t2 : float(28.625)
arich[2].feb[4].t1 : float(28.9375)
arich[2].feb[4].t2 : float(28.9375)
arich[2].feb[5].t1 : float(29.25)
arich[2].feb[5].t2 : float(29.25)
arich[3].temp : float(30.5)
arich[3].feb[0].t1 : float(27.6875)
arich[3].feb[0].t2 : float(27.9375)
arich[3].feb[1].t1 : float(28.5625)
arich[3].feb[1].t2 : float(28.5625)
arich[3].feb[2].t1 : float(28.5625)
arich[3].feb[2].t2 : float(28.4375)
arich[3].feb[3].t1 : float(28.1875)
arich[3].feb[3].t2 : float(28.25)
arich[3].feb[4].t1 : float(28.8125)
arich[3].feb[4].t2 : float(28.625)
arich[3].feb[5].t1 : float(28.75)
arich[3].feb[5].t2 : float(28.75)
[2018-10-01 11:51:13] 
arich[0].temp : float(30.8125)
arich[0].feb[0].t1 : float(28.875)
arich[0].feb[0].t2 : float(29.125)
arich[0].feb[1].t1 : float(29.1875)
arich[0].feb[1].t2 : float(29)
arich[0].feb[2].t1 : float(28.5625)
arich[0].feb[2].t2 : float(28.375)
arich[0].feb[3].t1 : float(29.125)
arich[0].feb[3].t2 : float(29.0625)
arich[0].feb[4].t1 : float(29.25)
arich[0].feb[4].t2 : float(29.4375)
arich[0].feb[5].t1 : float(28.5)
arich[0].feb[5].t2 : float(28.3125)
arich[1].temp : float(30.1875)
arich[1].feb[0].t1 : float(28.5)
arich[1].feb[0].t2 : float(28.625)
arich[1].feb[1].t1 : float(28.5)
arich[1].feb[1].t2 : float(28.5)
arich[1].feb[2].t1 : float(28.875)
arich[1].feb[2].t2 : float(28.6875)
arich[1].feb[3].t1 : float(28.125)
arich[1].feb[3].t2 : float(28.0625)
arich[1].feb[4].t1 : float(28.9375)
arich[1].feb[4].t2 : float(28.75)
arich[1].feb[5].t1 : float(29.6875)
arich[1].feb[5].t2 : float(29.6875)
arich[2].temp : float(32.125)
arich[2].feb[0].t1 : float(29.125)
arich[2].feb[0].t2 : float(29.3125)
arich[2].feb[1].t1 : float(29.0625)
arich[2].feb[1].t2 : float(29)
arich[2].feb[2].t1 : float(28.5625)
arich[2].feb[2].t2 : float(28.5625)
arich[2].feb[3].t1 : float(28.75)
arich[2].feb[3].t2 : float(28.75)
arich[2].feb[4].t1 : float(29.125)
arich[2].feb[4].t2 : float(29.0625)
arich[2].feb[5].t1 : float(29.375)
arich[2].feb[5].t2 : float(29.375)
arich[3].temp : float(30.375)
arich[3].feb[0].t1 : float(27.75)
arich[3].feb[0].t2 : float(28.0625)
arich[3].feb[1].t1 : float(28.75)
arich[3].feb[1].t2 : float(28.75)
arich[3].feb[2].t1 : float(28.6875)
arich[3].feb[2].t2 : float(28.5625)
arich[3].feb[3].t1 : float(28.3125)
arich[3].feb[3].t2 : float(28.375)
arich[3].feb[4].t1 : float(29)
arich[3].feb[4].t2 : float(28.8125)
arich[3].feb[5].t1 : float(28.9375)
arich[3].feb[5].t2 : float(28.875)
[2018-10-01 12:02:23] 
arich[0].temp : float(31.1875)
arich[0].feb[0].t1 : float(29.8125)
arich[0].feb[0].t2 : float(30.0625)
arich[0].feb[1].t1 : float(30.1875)
arich[0].feb[1].t2 : float(30)
arich[0].feb[2].t1 : float(29.5)
arich[0].feb[2].t2 : float(29.3125)
arich[0].feb[3].t1 : float(30.1875)
arich[0].feb[3].t2 : float(30.125)
arich[0].feb[4].t1 : float(30.3125)
arich[0].feb[4].t2 : float(30.5)
arich[0].feb[5].t1 : float(29.5)
arich[0].feb[5].t2 : float(29.25)
arich[1].temp : float(30.5625)
arich[1].feb[0].t1 : float(29.4375)
arich[1].feb[0].t2 : float(29.5625)
arich[1].feb[1].t1 : float(29.3125)
arich[1].feb[1].t2 : float(29.3125)
arich[1].feb[2].t1 : float(29.8125)
arich[1].feb[2].t2 : float(29.625)
arich[1].feb[3].t1 : float(29)
arich[1].feb[3].t2 : float(28.875)
arich[1].feb[4].t1 : float(29.875)
arich[1].feb[4].t2 : float(29.6875)
arich[1].feb[5].t1 : float(30.5625)
arich[1].feb[5].t2 : float(30.625)
arich[2].temp : float(32.5)
arich[2].feb[0].t1 : float(30)
arich[2].feb[0].t2 : float(30.25)
arich[2].feb[1].t1 : float(30)
arich[2].feb[1].t2 : float(29.9375)
arich[2].feb[2].t1 : float(29.375)
arich[2].feb[2].t2 : float(29.375)
arich[2].feb[3].t1 : float(29.5)
arich[2].feb[3].t2 : float(29.5625)
arich[2].feb[4].t1 : float(30)
arich[2].feb[4].t2 : float(29.9375)
arich[2].feb[5].t1 : float(30.3125)
arich[2].feb[5].t2 : float(30.3125)
arich[3].temp : float(30.6875)
arich[3].feb[0].t1 : float(28.5)
arich[3].feb[0].t2 : float(28.8125)
arich[3].feb[1].t1 : float(29.75)
arich[3].feb[1].t2 : float(29.8125)
arich[3].feb[2].t1 : float(29.75)
arich[3].feb[2].t2 : float(29.625)
arich[3].feb[3].t1 : float(29.1875)
arich[3].feb[3].t2 : float(29.3125)
arich[3].feb[4].t1 : float(30.0625)
arich[3].feb[4].t2 : float(29.875)
arich[3].feb[5].t1 : float(29.9375)
arich[3].feb[5].t2 : float(29.9375)
[2018-10-01 12:04:48] 
arich[0].temp : float(31.25)
arich[0].feb[0].t1 : float(30)
arich[0].feb[0].t2 : float(30.1875)
arich[0].feb[1].t1 : float(30.375)
arich[0].feb[1].t2 : float(30.125)
arich[0].feb[2].t1 : float(29.625)
arich[0].feb[2].t2 : float(29.4375)
arich[0].feb[3].t1 : float(30.375)
arich[0].feb[3].t2 : float(30.3125)
arich[0].feb[4].t1 : float(30.5)
arich[0].feb[4].t2 : float(30.625)
arich[0].feb[5].t1 : float(29.625)
arich[0].feb[5].t2 : float(29.375)
arich[1].temp : float(30.6875)
arich[1].feb[0].t1 : float(29.625)
arich[1].feb[0].t2 : float(29.75)
arich[1].feb[1].t1 : float(29.4375)
arich[1].feb[1].t2 : float(29.4375)
arich[1].feb[2].t1 : float(30)
arich[1].feb[2].t2 : float(29.8125)
arich[1].feb[3].t1 : float(29.125)
arich[1].feb[3].t2 : float(29)
arich[1].feb[4].t1 : float(30.0625)
arich[1].feb[4].t2 : float(29.8125)
arich[1].feb[5].t1 : float(30.75)
arich[1].feb[5].t2 : float(30.8125)
arich[2].temp : float(32.625)
arich[2].feb[0].t1 : float(30.25)
arich[2].feb[0].t2 : float(30.4375)
arich[2].feb[1].t1 : float(30.1875)
arich[2].feb[1].t2 : float(30.125)
arich[2].feb[2].t1 : float(29.5)
arich[2].feb[2].t2 : float(29.5625)
arich[2].feb[3].t1 : float(29.6875)
arich[2].feb[3].t2 : float(29.6875)
arich[2].feb[4].t1 : float(30.1875)
arich[2].feb[4].t2 : float(30.125)
arich[2].feb[5].t1 : float(30.5)
arich[2].feb[5].t2 : float(30.5)
arich[3].temp : float(30.8125)
arich[3].feb[0].t1 : float(28.625)
arich[3].feb[0].t2 : float(28.9375)
arich[3].feb[1].t1 : float(29.9375)
arich[3].feb[1].t2 : float(29.9375)
arich[3].feb[2].t1 : float(29.9375)
arich[3].feb[2].t2 : float(29.75)
arich[3].feb[3].t1 : float(29.3125)
arich[3].feb[3].t2 : float(29.4375)
arich[3].feb[4].t1 : float(30.25)
arich[3].feb[4].t2 : float(30.0625)
arich[3].feb[5].t1 : float(30.125)
arich[3].feb[5].t2 : float(30.125)
[2018-10-01 12:16:14] 
arich[0].temp : float(31.625)
arich[0].feb[0].t1 : float(30.5625)
arich[0].feb[0].t2 : float(30.8125)
arich[0].feb[1].t1 : float(31.0625)
arich[0].feb[1].t2 : float(30.8125)
arich[0].feb[2].t1 : float(30.25)
arich[0].feb[2].t2 : float(30.0625)
arich[0].feb[3].t1 : float(31.0625)
arich[0].feb[3].t2 : float(31)
arich[0].feb[4].t1 : float(31.1875)
arich[0].feb[4].t2 : float(31.375)
arich[0].feb[5].t1 : float(30.3125)
arich[0].feb[5].t2 : float(30.0625)
arich[1].temp : float(31.0625)
arich[1].feb[0].t1 : float(30.3125)
arich[1].feb[0].t2 : float(30.375)
arich[1].feb[1].t1 : float(30)
arich[1].feb[1].t2 : float(30)
arich[1].feb[2].t1 : float(30.625)
arich[1].feb[2].t2 : float(30.4375)
arich[1].feb[3].t1 : float(29.6875)
arich[1].feb[3].t2 : float(29.625)
arich[1].feb[4].t1 : float(30.6875)
arich[1].feb[4].t2 : float(30.4375)
arich[1].feb[5].t1 : float(31.375)
arich[1].feb[5].t2 : float(31.375)
arich[2].temp : float(32.9375)
arich[2].feb[0].t1 : float(30.8125)
arich[2].feb[0].t2 : float(31)
arich[2].feb[1].t1 : float(30.8125)
arich[2].feb[1].t2 : float(30.75)
arich[2].feb[2].t1 : float(30.125)
arich[2].feb[2].t2 : float(30.125)
arich[2].feb[3].t1 : float(30.25)
arich[2].feb[3].t2 : float(30.3125)
arich[2].feb[4].t1 : float(30.8125)
arich[2].feb[4].t2 : float(30.75)
arich[2].feb[5].t1 : float(31.125)
arich[2].feb[5].t2 : float(31.125)
arich[3].temp : float(31.1875)
arich[3].feb[0].t1 : float(29.125)
arich[3].feb[0].t2 : float(29.5)
arich[3].feb[1].t1 : float(30.625)
arich[3].feb[1].t2 : float(30.6875)
arich[3].feb[2].t1 : float(30.625)
arich[3].feb[2].t2 : float(30.5)
arich[3].feb[3].t1 : float(29.9375)
arich[3].feb[3].t2 : float(30.0625)
arich[3].feb[4].t1 : float(30.9375)
arich[3].feb[4].t2 : float(30.75)
arich[3].feb[5].t1 : float(30.875)
arich[3].feb[5].t2 : float(30.875)
[2018-10-01 12:17:17] 
arich[0].temp : float(31.625)
arich[0].feb[0].t1 : float(30.625)
arich[0].feb[0].t2 : float(30.875)
arich[0].feb[1].t1 : float(31.125)
arich[0].feb[1].t2 : float(30.875)
arich[0].feb[2].t1 : float(30.375)
arich[0].feb[2].t2 : float(30.125)
arich[0].feb[3].t1 : float(31.125)
arich[0].feb[3].t2 : float(31.0625)
arich[0].feb[4].t1 : float(31.25)
arich[0].feb[4].t2 : float(31.4375)
arich[0].feb[5].t1 : float(30.375)
arich[0].feb[5].t2 : float(30.125)
arich[1].temp : float(31.0625)
arich[1].feb[0].t1 : float(30.375)
arich[1].feb[0].t2 : float(30.4375)
arich[1].feb[1].t1 : float(30.0625)
arich[1].feb[1].t2 : float(30.0625)
arich[1].feb[2].t1 : float(30.6875)
arich[1].feb[2].t2 : float(30.5)
arich[1].feb[3].t1 : float(29.8125)
arich[1].feb[3].t2 : float(29.6875)
arich[1].feb[4].t1 : float(30.75)
arich[1].feb[4].t2 : float(30.5)
arich[1].feb[5].t1 : float(31.4375)
arich[1].feb[5].t2 : float(31.4375)
arich[2].temp : float(33)
arich[2].feb[0].t1 : float(30.875)
arich[2].feb[0].t2 : float(31.0625)
arich[2].feb[1].t1 : float(30.875)
arich[2].feb[1].t2 : float(30.8125)
arich[2].feb[2].t1 : float(30.125)
arich[2].feb[2].t2 : float(30.1875)
arich[2].feb[3].t1 : float(30.3125)
arich[2].feb[3].t2 : float(30.375)
arich[2].feb[4].t1 : float(30.875)
arich[2].feb[4].t2 : float(30.8125)
arich[2].feb[5].t1 : float(31.1875)
arich[2].feb[5].t2 : float(31.1875)
arich[3].temp : float(31.125)
arich[3].feb[0].t1 : float(29.1875)
arich[3].feb[0].t2 : float(29.5625)
arich[3].feb[1].t1 : float(30.6875)
arich[3].feb[1].t2 : float(30.75)
arich[3].feb[2].t1 : float(30.6875)
arich[3].feb[2].t2 : float(30.5625)
arich[3].feb[3].t1 : float(30)
arich[3].feb[3].t2 : float(30.125)
arich[3].feb[4].t1 : float(31)
arich[3].feb[4].t2 : float(30.8125)
arich[3].feb[5].t1 : float(30.875)
arich[3].feb[5].t2 : float(30.9375)
[2018-10-01 13:06:10] 
arich[0].temp : float(31.8125)
arich[0].feb[0].t1 : float(31.5)
arich[0].feb[0].t2 : float(31.75)
arich[0].feb[1].t1 : float(32.1875)
arich[0].feb[1].t2 : float(31.9375)
arich[0].feb[2].t1 : float(31.3125)
arich[0].feb[2].t2 : float(31.0625)
arich[0].feb[3].t1 : float(32.375)
arich[0].feb[3].t2 : float(32.25)
arich[0].feb[4].t1 : float(32.375)
arich[0].feb[4].t2 : float(32.5625)
arich[0].feb[5].t1 : float(31.375)
arich[0].feb[5].t2 : float(31.125)
arich[1].temp : float(31.25)
arich[1].feb[0].t1 : float(31.4375)
arich[1].feb[0].t2 : float(31.5625)
arich[1].feb[1].t1 : float(30.875)
arich[1].feb[1].t2 : float(30.875)
arich[1].feb[2].t1 : float(31.75)
arich[1].feb[2].t2 : float(31.5625)
arich[1].feb[3].t1 : float(30.75)
arich[1].feb[3].t2 : float(30.625)
arich[1].feb[4].t1 : float(31.8125)
arich[1].feb[4].t2 : float(31.5625)
arich[1].feb[5].t1 : float(32.3125)
arich[1].feb[5].t2 : float(32.375)
arich[2].temp : float(33.25)
arich[2].feb[0].t1 : float(31.875)
arich[2].feb[0].t2 : float(32.125)
arich[2].feb[1].t1 : float(31.9375)
arich[2].feb[1].t2 : float(31.875)
arich[2].feb[2].t1 : float(31.375)
arich[2].feb[2].t2 : float(31.375)
arich[2].feb[3].t1 : float(31.5)
arich[2].feb[3].t2 : float(31.5625)
arich[2].feb[4].t1 : float(32)
arich[2].feb[4].t2 : float(31.9375)
arich[2].feb[5].t1 : float(32.375)
arich[2].feb[5].t2 : float(32.375)
arich[3].temp : float(31.3125)
arich[3].feb[0].t1 : float(30)
arich[3].feb[0].t2 : float(30.375)
arich[3].feb[1].t1 : float(31.8125)
arich[3].feb[1].t2 : float(31.9375)
arich[3].feb[2].t1 : float(31.9375)
arich[3].feb[2].t2 : float(31.75)
arich[3].feb[3].t1 : float(30.9375)
arich[3].feb[3].t2 : float(31.1875)
arich[3].feb[4].t1 : float(32.25)
arich[3].feb[4].t2 : float(32.0625)
arich[3].feb[5].t1 : float(32.125)
arich[3].feb[5].t2 : float(32.1875)
[2018-10-01 13:06:52] 
arich[0].temp : float(31.8125)
arich[0].feb[0].t1 : float(31.5)
arich[0].feb[0].t2 : float(31.75)
arich[0].feb[1].t1 : float(32.1875)
arich[0].feb[1].t2 : float(31.9375)
arich[0].feb[2].t1 : float(31.3125)
arich[0].feb[2].t2 : float(31.0625)
arich[0].feb[3].t1 : float(32.375)
arich[0].feb[3].t2 : float(32.25)
arich[0].feb[4].t1 : float(32.375)
arich[0].feb[4].t2 : float(32.5625)
arich[0].feb[5].t1 : float(31.375)
arich[0].feb[5].t2 : float(31.125)
arich[1].temp : float(31.3125)
arich[1].feb[0].t1 : float(31.4375)
arich[1].feb[0].t2 : float(31.5625)
arich[1].feb[1].t1 : float(30.875)
arich[1].feb[1].t2 : float(30.875)
arich[1].feb[2].t1 : float(31.75)
arich[1].feb[2].t2 : float(31.5625)
arich[1].feb[3].t1 : float(30.75)
arich[1].feb[3].t2 : float(30.625)
arich[1].feb[4].t1 : float(31.8125)
arich[1].feb[4].t2 : float(31.5625)
arich[1].feb[5].t1 : float(32.3125)
arich[1].feb[5].t2 : float(32.375)
arich[2].temp : float(33.25)
arich[2].feb[0].t1 : float(31.875)
arich[2].feb[0].t2 : float(32.125)
arich[2].feb[1].t1 : float(32)
arich[2].feb[1].t2 : float(31.875)
arich[2].feb[2].t1 : float(31.375)
arich[2].feb[2].t2 : float(31.375)
arich[2].feb[3].t1 : float(31.5)
