        posR_cm     posPhi_deg      measT_Cel
          65.81        3.73064           51.5
          74.37        3.78155           52.5
          57.35        3.81479           48.5
          65.81        3.86154           50.5
          57.35        3.96439        47.6875
          65.81        3.99244        49.1875
          65.81        4.12334        48.9375
          57.35        4.11399        47.5625
         91.305        3.18919        51.9375
          74.37        3.19977         52.875
         82.868        3.19395           52.5
         82.868        3.29867         54.375
          74.37        3.31613        53.9375
         91.305        3.28439          53.75
         91.305        3.37959        54.0625
         82.868        3.40339          55.25
          74.37        3.43248        54.9375
         82.868        3.50811        54.5625
         82.868        3.61283        53.9375
         82.868        3.71755        53.5625
         82.868        3.82227        52.0625
          74.37         3.8979         49.875
         82.868        3.92699          49.25
         91.305        3.95079         47.625
        108.185        3.26242        46.9375
         99.794        3.27249        51.1875
        108.185        3.18187        47.5625
         99.794        3.18523         50.625
         99.794        3.35976             51
        108.185        3.34298           45.5
        108.185        3.42353         46.625
         99.794        3.44703          51.75
         91.305        3.47479        54.4375
         99.794        3.53429          52.25
        108.185        3.50408        46.9375
         91.305        3.56999        53.4375
         91.305        3.76039        52.1875
        108.185         3.8263           45.5
         99.794        3.79609        50.1875
         91.305        3.85559        49.8125
         99.794        3.88336          47.25
        108.185        3.90685        42.3125
        108.185        3.98741             41
         99.794        3.97062             45
         99.794        4.14516         40.375
        108.185        4.14851         37.875
         99.794        4.05789        42.1875
        108.185        4.06796        39.3125
        108.185        3.74575        49.4375
         99.794        3.70882         51.875
         91.305        3.66519        52.4375
        108.185        3.66519        50.6875
         99.794        3.62156        52.3125
        108.185        3.58464        49.0625
          57.35        4.26359        46.9375
          65.81        4.25424        48.6875
          57.35        4.41319        46.6875
          65.81        4.38514        48.5625
          65.81        4.51604         48.875
          57.35        4.56279        47.0625
          74.37        4.59603        49.5625
          65.81        4.64694        49.4375
          74.37        4.71239        50.0625
          57.35        4.71239          47.25
          65.81        4.77784          50.25
          74.37        4.82874        50.9375
          57.35        4.86199         47.375
          65.81        4.90874        49.9375
          57.35        5.01159        47.0625
          65.81        5.03964        48.9375
          65.81        5.17054        48.6875
          57.35        5.16119        46.5625
         91.305        4.23639         43.625
          74.37        4.24697         47.875
         82.868        4.24115         46.125
         82.868        4.34587         47.875
          74.37        4.36332        47.9375
         91.305        4.33159         45.625
         91.305        4.42679        46.5625
         82.868        4.45059        48.5625
          74.37        4.47968        48.3125
         82.868        4.55531         49.875
         82.868        4.66003         50.375
         82.868        4.76475        51.0625
         82.868        4.86947          50.75
          74.37         4.9451             50
         82.868        4.97419          49.75
         91.305        4.99799         47.875
         91.305        5.09319             48
          74.37        5.06145        48.8125
         82.868        5.07891         49.375
         82.868        5.18363         48.375
          74.37        5.17781        49.1875
         91.305        5.18839         46.375
        108.185        4.30962         37.875
         99.794        4.31969         42.375
        108.185        4.22907        37.8125
         99.794        4.23242        40.1875
         99.794        4.40696          43.75
        108.185        4.39017        40.0625
        108.185        4.47073        41.1875
         99.794        4.49422         45.125
         91.305        4.52199        47.6875
         99.794        4.58149        46.6875
        108.185        4.55128         42.625
         91.305        4.61719           49.5
         91.305        4.80759        50.0625
        108.185         4.8735         43.625
         99.794        4.84329         47.875
         91.305        4.90279        49.5625
         99.794        4.93056           46.5
        108.185        4.95405             42
        108.185         5.0346         38.875
         99.794        5.01782        45.0625
         99.794        5.19235          43.75
        108.185        5.19571             41
         99.794        5.10509         44.625
        108.185        5.11516        40.4375
        108.185        4.79294         45.875
         99.794        4.75602          48.75
         91.305        4.71239        49.5625
        108.185        4.71239           45.5
         99.794        4.66876         47.875
        108.185        4.63184         44.625
          57.35        5.31079        46.5625
          65.81        5.30144        48.4375
          57.35        5.46039        46.3125
          65.81        5.43234           48.5
          65.81        5.56324        48.0625
          57.35        5.60999        46.0625
          74.37        5.64323        49.4375
          65.81        5.69414         49.125
          74.37        5.75959        49.1875
          57.35        5.75959        46.8125
          65.81        5.82504        49.5625
          74.37        5.87594        50.1875
          57.35        5.90919          46.25
          65.81        5.95594        48.9375
          57.35        6.05879             47
          65.81        6.08684        48.8125
